City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
318,318,San Vicente,AR,-26.6167,-54.1333,84.76,57,47,7.52,heavy intensity rain,Complejo Turístico Farelluk
320,320,Tarakan,ID,3.3,117.6333,76.17,94,100,9.66,overcast clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
321,321,Sungairaya,ID,0.7,108.9,78.21,87,100,9.06,light rain,Mess P.Milu
322,322,Morondava,MG,-20.2833,44.2833,84.79,70,87,4.5,overcast clouds,La Case Bambou
324,324,Manggar,ID,-2.8833,108.2667,79.47,86,100,9.57,light rain,Guest Hotel
327,327,Contamana,PE,-7.3333,-75.0167,82.09,67,92,4.63,overcast clouds,Shiringal Touristic Park
331,331,Mbigou,GA,-1.9005,11.905999999999999,76.05,88,90,2.15,moderate rain,
334,334,Manzanillo,CU,20.3433,-77.1167,81.95,58,98,1.68,overcast clouds,"HOSTAL ""THE YELLOW HOUSE"""
338,338,Osmena,PH,10.5208,119.9258,80.31,77,100,23.91,overcast clouds,Arjemarkyza Lodge
342,342,Ambovombe,MG,-25.1667,46.0833,81.55,78,60,7.99,broken clouds,RELAHARA
343,343,Lae,PG,-6.7221,146.9847,77.94,83,100,4.94,moderate rain,Phils Hotel
345,345,Caravelas,BR,-17.7125,-39.2481,84.79,56,3,10.51,clear sky,Pousada dos Navegantes
348,348,Ko Samui,TH,9.5357,99.9357,79.43,75,20,13.49,few clouds,"The Passage Samui Villas & Resort, Thailand"
355,355,Kuala Terengganu,MY,5.3302,103.1408,78.8,78,40,5.75,scattered clouds,Hotel Grand Continental Kuala Terengganu (4 Star)
357,357,Grand-Santi,GF,4.25,-54.3833,83.86,69,44,5.84,scattered clouds,Hotel La Villa Couacou
358,358,Mayakonda,IN,14.2833,76.0833,77.05,42,36,13.15,scattered clouds,ST Hostel
361,361,Ambad,IN,19.6167,75.8,75.2,64,20,4.09,haze,Dhembre Maha E Seva Kendra
362,362,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,58,40,20.71,scattered clouds,Pousada Porto Praia
368,368,Tshikapa,CD,-6.4167,20.8,82.06,68,1,3.36,clear sky,Hôtel Tshia-Muntu de Tshikapa
370,370,Mokolo,CM,10.7398,13.8019,85.86,14,0,6.6,clear sky,Diwa Hôtel
376,376,Antalaha,MG,-14.9003,50.2788,79.27,80,2,4.41,clear sky,Hotel Vitasoa
382,382,Carutapera,BR,-1.195,-46.02,88.27,55,71,8.81,broken clouds,Lidera
389,389,Biltine,TD,14.5333,20.9167,80.4,15,18,5.14,few clouds,Hôtel Trois Étoiles de Biltine
395,395,Linhares,BR,-19.3911,-40.0722,85.53,54,99,9.51,overcast clouds,Hotel Conceição
396,396,Reyes,BO,-14.3167,-67.3833,82.4,83,90,11.5,overcast clouds,
397,397,The Valley,AI,18.217,-63.0578,82.4,61,20,16.11,few clouds,CeBlue Villas & Beach Resort
404,404,Alyangula,AU,-13.8483,136.4192,78.8,100,100,3.44,overcast clouds,Groote Eylandt Lodge
407,407,Sola,VU,-13.8833,167.55,82.0,71,100,3.13,overcast clouds,Leumerus Bungalows
409,409,Kismayo,SO,-0.3582,42.5454,78.24,81,0,15.21,clear sky,Agan-Hotel
410,410,Olinda,BR,-8.0089,-34.8553,82.4,54,20,11.5,few clouds,Flat Quatro Rodas Olinda
417,417,Samarai,PG,-10.6167,150.6667,83.52,79,100,14.85,overcast clouds,Nuli Sapi
419,419,Lorengau,PG,-2.0226,147.2712,82.58,78,100,12.35,overcast clouds,Lorengau Harbourside Hotel
422,422,Cartagena,CO,10.3997,-75.5144,86.0,70,0,9.22,clear sky,Costa Del Sol
424,424,Roura,GF,4.7263,-52.3274,84.2,65,75,13.8,light rain,Amazonie Découverte SARL
429,429,Bandarbeyla,SO,9.4942,50.8122,75.63,72,15,14.2,few clouds,JABIR HOTEL
431,431,Manuk Mangkaw,PH,4.8,119.85,82.04,79,100,12.64,overcast clouds,
432,432,San Policarpo,PH,12.1791,125.5072,80.1,84,93,5.61,overcast clouds,JM Lodge
433,433,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,51,20,23.02,few clouds,Pousada Porto De Canoas
435,435,Kulhudhuffushi,MV,6.6221,73.07,81.5,73,96,9.55,overcast clouds,Haajy Guest House 1
440,440,Ilebo,CD,-4.3167,20.5833,84.92,58,92,2.15,overcast clouds,Hôtel des palmes
441,441,Tiarei,PF,-17.5333,-149.3333,78.8,73,75,2.3,broken clouds,Le Rocher de Tahiti
442,442,Humaita,BR,-7.5061,-63.0208,86.27,69,81,3.04,moderate rain,Corrêa Hotel
448,448,Jacmel,HT,18.2342,-72.5347,87.8,48,20,12.66,few clouds,Hotel Florita
450,450,Moreira Sales,BR,-24.0622,-53.0069,81.21,75,99,11.3,heavy intensity rain,Portal Moreira Sales
453,453,Dubti,ET,11.7361,41.0853,80.22,32,0,5.14,clear sky,degu Shiferaw
457,457,Gemena,CD,3.25,19.7667,87.85,39,95,2.01,overcast clouds,Hôtel Goshen
458,458,Maningrida,AU,-12.0667,134.2667,80.55,78,25,4.92,light rain,Dhukurrdji Lodge
459,459,Kikwit,CD,-5.041,18.8162,83.23,65,69,2.75,broken clouds,Guest L'Amour
462,462,Hadejia,NG,12.4498,10.0444,87.82,11,83,5.3,broken clouds,Jigawa Rural And Development Authority
463,463,Barra Patuca,HN,15.8,-84.2833,79.45,79,98,5.79,light rain,
464,464,Tucupita,VE,9.0622,-62.051,84.51,59,100,5.35,overcast clouds,Hotel Tucupita Su​ite C.A.
467,467,Wanlaweyn,SO,2.6185,44.8938,80.6,57,1,19.39,clear sky,Haji Qasim Hotel
471,471,Thinadhoo,MV,0.5333,72.9333,81.66,73,88,9.89,overcast clouds,
485,485,Dhidhdhoo,MV,6.8833,73.1,81.73,73,85,10.29,overcast clouds,Dhidhoo beach
487,487,Urucui,BR,-7.2294,-44.5561,86.59,62,56,8.46,light rain,Hotel Premium Piauí
491,491,San Andres,CO,12.5847,-81.7006,78.8,78,75,18.41,light rain,Hotel Arena Blanca
494,494,Road Town,VG,18.4167,-64.6167,84.2,61,20,6.91,few clouds,"ZINGARA 76ft Catamaran, full crew-all included"
499,499,Karaton,ID,-6.3424,106.1045,82.99,78,40,6.91,scattered clouds,Parkir Mobil Wisata CAS Water Park
501,501,Para De Minas,BR,-19.8603,-44.6083,78.8,61,75,10.36,light rain,Suntory Business Hotel
502,502,Namibe,AO,-15.1961,12.1522,82.4,51,0,11.5,clear sky,Hotel Chik Chik Namibe
504,504,Merauke,ID,-8.4667,140.3333,79.77,85,100,7.83,overcast clouds,
507,507,Ambon,ID,-3.6954,128.1814,77.0,15,100,7.76,moderate rain,Swiss-Belhotel Ambon
508,508,Mount Isa,AU,-20.7333,139.5,86.0,12,0,17.27,clear sky,ibis Styles Mt Isa Verona
510,510,Cockburn Town,TC,21.4612,-71.1419,78.69,81,100,12.35,overcast clouds,Osprey Beach Hotel
512,512,Bartica,GY,6.4,-58.6167,86.0,66,75,18.41,broken clouds,Relax Inn Hotel
523,523,Carupano,VE,10.6678,-63.2585,80.8,65,99,7.14,overcast clouds,Hotel La dorada
526,526,Amahai,ID,-3.3333,128.9167,80.01,91,100,3.0,light rain,HOTEL ISABELA
531,531,Trinidad,BO,-14.8333,-64.9,82.4,83,75,13.8,light rain,Hotel Piesta
532,532,Alugan,PH,12.2188,125.4808,79.57,85,96,5.39,overcast clouds,JM Lodge
535,535,Honiara,SB,-9.4333,159.95,77.22,80,100,2.26,overcast clouds,Heritage Park Hotel
537,537,Kununurra,AU,-15.7667,128.7333,82.4,83,75,10.36,broken clouds,Hotel Kununurra
538,538,Iralaya,HN,15.0,-83.2333,80.44,76,16,8.1,light rain,Iglesia morava renovada
542,542,Salalah,OM,17.0151,54.0924,75.2,69,0,2.3,clear sky,HAMDAN PLAZA HOTEL
554,554,Axim,GH,4.8699,-2.2405,83.61,68,84,7.34,light rain,AXIM BEACH RESORT AND SPA
563,563,Rodrigues Alves,BR,-7.7379999999999995,-72.6509,84.2,79,75,3.44,moderate rain,Pousada Aconchego
570,570,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.67,94,81,3.94,moderate rain,Rio Xingu Camping
574,574,Hervey Bay,AU,-25.2986,152.8535,75.99,89,15,1.01,few clouds,Shelly Bay Resort
