City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Winburg,-28.518,27.0093,82.09,31,0,15.82,ZA,2021-01-16 14:48:19
124,Mantenopolis,-18.8625,-41.1228,77.54,79,100,7.85,BR,2021-01-16 14:48:20
125,Gazanjyk,39.2446,55.5154,50.67,67,5,12.88,TM,2021-01-16 14:44:21
126,Kavaratti,10.5669,72.642,82.27,77,10,9.42,IN,2021-01-16 14:48:20
127,Sant Feliu De Guixols,41.7833,3.0333,55.0,68,6,3.6,ES,2021-01-16 14:48:20
128,Shaoyang,27.2315,111.4525,44.4,59,94,12.59,CN,2021-01-16 14:48:20
129,Palmer,42.1584,-72.3287,42.01,100,90,10.36,US,2021-01-16 14:48:20
130,Sola,-13.8833,167.55,82.15,72,100,3.53,VU,2021-01-16 14:48:20
131,Vanavara,60.34,102.2797,-44.3,76,25,2.1,RU,2021-01-16 14:48:20
132,Rio Gallegos,-51.6226,-69.2181,64.4,59,75,5.75,AR,2021-01-16 14:47:48
133,Mar Del Plata,-38.0023,-57.5575,80.6,69,75,5.75,AR,2021-01-16 14:43:24
134,Jaguarao,-32.5661,-53.3758,85.48,62,65,14.23,BR,2021-01-16 14:48:21
135,Itarema,-2.9248,-39.9167,88.07,54,31,16.04,BR,2021-01-16 14:48:21
136,Kapoeta,4.7717,33.5903,91.9,25,94,4.63,SS,2021-01-16 14:48:21
137,Cidreira,-30.1811,-50.2056,77.7,80,100,11.43,BR,2021-01-16 14:48:21
138,Riyadh,24.6877,46.7219,73.4,31,0,6.91,SA,2021-01-16 14:48:21
139,Udachnyy,66.4167,112.4,-35.12,80,100,12.3,RU,2021-01-16 14:48:21
140,Kamenka,51.3223,42.7678,10.0,88,100,17.47,RU,2021-01-16 14:48:21
141,Faanui,-16.4833,-151.75,81.25,73,12,10.27,PF,2021-01-16 14:48:22
142,Hobart,-42.8794,147.3294,51.8,50,37,16.11,AU,2021-01-16 14:43:58
143,Dikson,73.5069,80.5464,-31.79,79,17,8.52,RU,2021-01-16 14:48:22
144,Ikare,7.4913,5.2322,98.08,16,36,2.33,NG,2021-01-16 14:48:22
145,Bethel,41.3712,-73.414,39.0,100,90,4.61,US,2021-01-16 14:48:22
146,Yaya,56.206,86.44,9.93,90,100,13.09,RU,2021-01-16 14:48:22
147,Biggar,55.6167,-3.5167,46.0,10,96,10.0,GB,2021-01-16 14:48:22
148,Lebu,-37.6167,-73.65,60.4,61,0,19.13,CL,2021-01-16 14:48:22
149,Sambava,-14.2667,50.1667,81.95,72,8,6.64,MG,2021-01-16 14:48:22
150,Belaya Gora,68.5333,146.4167,-22.29,87,100,1.83,RU,2021-01-16 14:48:23
151,El Tigre,8.8875,-64.2454,81.28,59,56,12.1,VE,2021-01-16 14:46:46
152,San Pedro,14.35,121.0167,78.8,78,75,8.05,PH,2021-01-16 14:48:23
153,Gat,31.61,34.7642,62.01,56,0,7.81,IL,2021-01-16 14:48:23
154,Doka,13.5167,35.7667,90.55,17,0,8.32,SD,2021-01-16 14:48:23
155,Ancud,-41.8697,-73.8203,66.99,67,20,8.05,CL,2021-01-16 14:48:23
156,Cayenne,4.9333,-52.3333,84.2,70,90,14.97,GF,2021-01-16 14:48:23
157,San Rafael,-34.6177,-68.3301,69.58,26,2,17.16,AR,2021-01-16 14:48:24
158,Beisfjord,68.3751,17.5988,35.6,87,90,5.75,NO,2021-01-16 14:48:24
159,Pizarro,4.9533,-77.366,76.96,91,99,5.93,CO,2021-01-16 14:48:24
160,Winnemucca,40.973,-117.7357,24.8,86,1,5.75,US,2021-01-16 14:48:24
161,Severo-Kurilsk,50.6789,156.125,24.46,96,100,8.34,RU,2021-01-16 14:48:24
162,Qui Nhon,13.7667,109.2333,68.95,87,50,7.63,VN,2021-01-16 14:47:15
163,Constitucion,-35.3333,-72.4167,66.96,43,0,15.17,CL,2021-01-16 14:48:24
164,Ishigaki,24.3448,124.1572,64.47,82,100,31.12,JP,2021-01-16 14:48:25
165,Luorong,24.4058,109.6086,58.17,37,95,18.63,CN,2021-01-16 14:48:25
166,Bonthe,7.5264,-12.505,88.21,49,94,8.14,SL,2021-01-16 14:48:25
167,Port-Gentil,-0.7193,8.7815,86.0,74,40,11.5,GA,2021-01-16 14:48:25
168,San Quintin,30.4833,-115.95,58.98,41,0,1.19,MX,2021-01-16 14:46:11
169,Fillmore,43.6666,-92.1002,32.0,93,90,10.36,US,2021-01-16 14:48:25
170,Dubbo,-32.25,148.6167,62.6,39,42,8.05,AU,2021-01-16 14:48:25
171,Ponta Do Sol,32.6667,-17.1,63.0,60,97,5.99,PT,2021-01-16 14:48:26
172,Vestmannaeyjar,63.4427,-20.2734,39.2,87,90,23.02,IS,2021-01-16 14:48:26
173,Necochea,-38.5473,-58.7368,68.0,75,56,19.8,AR,2021-01-16 14:48:26
174,Havre-Saint-Pierre,50.2334,-63.5986,24.8,86,90,8.05,CA,2021-01-16 14:48:26
175,Kutum,14.2,24.6667,80.94,13,0,6.73,SD,2021-01-16 14:48:26
176,Namatanai,-3.6667,152.4333,80.64,82,55,12.46,PG,2021-01-16 14:48:26
177,Linhares,-19.3911,-40.0722,84.96,57,99,8.66,BR,2021-01-16 14:48:26
178,Chapais,49.7834,-74.8492,23.0,93,90,8.05,CA,2021-01-16 14:47:43
179,Havoysund,70.9963,24.6622,35.6,87,75,10.36,NO,2021-01-16 14:48:27
180,Dubinino,55.6192,89.0911,12.13,89,100,4.03,RU,2021-01-16 14:48:27
181,Asau,46.4333,26.4,19.4,79,75,9.22,RO,2021-01-16 14:48:27
182,Port Elizabeth,-33.918,25.5701,75.2,60,0,37.98,ZA,2021-01-16 14:48:14
183,Bestobe,52.4994,73.0975,15.71,90,100,10.04,KZ,2021-01-16 14:48:27
184,Fairbanks,64.8378,-147.7164,7.0,84,1,3.42,US,2021-01-16 14:48:27
185,Castro,-24.7911,-50.0119,76.35,69,98,9.15,BR,2021-01-16 14:48:27
186,Isangel,-19.55,169.2667,80.87,77,100,5.12,VU,2021-01-16 14:48:27
187,Gweru,-19.45,29.8167,75.96,73,96,6.02,ZW,2021-01-16 14:48:27
188,Romny,50.751,33.4747,7.52,93,100,6.98,UA,2021-01-16 14:48:28
189,Bojnurd,37.4747,57.329,53.6,19,0,9.22,IR,2021-01-16 14:48:28
190,Strathmore,51.0501,-113.3852,28.4,54,1,10.36,CA,2021-01-16 14:45:07
191,Talnakh,69.4865,88.3972,-27.89,72,0,6.53,RU,2021-01-16 14:48:28
192,Banff,51.1762,-115.5698,32.0,68,100,4.61,CA,2021-01-16 14:44:19
193,Stillwater,36.1156,-97.0584,30.0,74,1,4.61,US,2021-01-16 14:48:28
194,Santiago Del Estero,-27.7951,-64.2615,79.0,76,100,7.0,AR,2021-01-16 14:48:28
195,Oktyabrskiy,54.4815,53.471,14.07,94,100,16.49,RU,2021-01-16 14:48:28
196,Sitka,57.0531,-135.33,44.6,65,90,13.8,US,2021-01-16 14:48:29
197,Ziro,27.6333,93.8333,57.2,94,20,3.44,IN,2021-01-16 14:48:29
198,Vaini,-21.2,-175.2,77.0,100,75,4.61,TO,2021-01-16 14:48:29
199,Hambantota,6.1241,81.1185,77.0,100,40,3.44,LK,2021-01-16 14:48:29
200,Leshukonskoye,64.8989,45.7622,-15.66,87,0,2.21,RU,2021-01-16 14:48:29
201,Katsuura,35.1333,140.3,46.99,53,75,21.85,JP,2021-01-16 14:48:29
202,Ust-Nera,64.5667,143.2,-27.4,76,100,2.64,RU,2021-01-16 14:48:29
203,Sorong,-0.8833,131.25,78.58,89,100,11.83,ID,2021-01-16 14:48:29
204,Varnavino,57.4035,45.0916,9.07,96,100,7.99,RU,2021-01-16 14:48:29
205,Puerto Colombia,10.9878,-74.9547,78.8,83,40,4.61,CO,2021-01-16 14:48:30
206,Kiunga,-6.1219,141.2906,74.66,98,100,3.02,PG,2021-01-16 14:48:30
207,Saint Pete Beach,27.7253,-82.7412,59.0,15,55,22.77,US,2021-01-16 14:48:30
208,Barrow,71.2906,-156.7887,-2.2,78,90,18.41,US,2021-01-16 14:48:30
209,Veraval,20.9,70.3667,72.07,61,0,10.54,IN,2021-01-16 14:48:30
210,Were Ilu,10.6,39.4333,59.99,48,6,10.29,ET,2021-01-16 14:48:30
211,Tessalit,20.1986,1.0114,74.84,14,85,14.99,ML,2021-01-16 14:48:30
212,Fez,34.0372,-4.9998,57.2,62,0,2.3,MA,2021-01-16 14:48:31
213,Eyl,7.9803,49.8164,76.24,72,90,19.01,SO,2021-01-16 14:48:31
214,Kloulklubed,7.0419,134.2556,77.0,94,75,3.44,PW,2021-01-16 14:48:31
215,Fiditi,7.7136,3.9172,98.78,16,2,1.48,NG,2021-01-16 14:48:31
216,Naze,28.3667,129.4833,55.74,74,0,26.28,JP,2021-01-16 14:48:31
217,Kanungu,-0.9575,29.7897,65.08,82,81,2.59,UG,2021-01-16 14:48:31
218,Terrace Bay,48.7834,-87.1,23.0,86,90,11.5,CA,2021-01-16 14:48:31
219,Baykit,61.67,96.37,-26.66,79,100,3.15,RU,2021-01-16 14:48:32
220,Solnechnyy,50.7214,136.6319,-13.49,86,26,2.98,RU,2021-01-16 14:48:32
221,Khatanga,71.9667,102.5,-26.77,85,94,3.8,RU,2021-01-16 14:48:32
222,Genhe,50.7833,121.5167,-22.86,85,99,2.26,CN,2021-01-16 14:48:32
223,Dingle,10.9995,122.6711,75.06,90,100,11.52,PH,2021-01-16 14:48:32
224,Usvyaty,55.7456,30.7533,1.87,93,100,6.62,RU,2021-01-16 14:48:32
225,Hun,29.1268,15.9477,61.23,32,0,10.0,LY,2021-01-16 14:48:32
226,Nouna,12.7333,-3.8667,95.45,9,89,13.27,BF,2021-01-16 14:48:32
227,Uppsala,60.0,17.75,28.99,93,90,4.61,SE,2021-01-16 14:48:33
228,Husavik,66.0449,-17.3389,35.6,93,90,5.75,IS,2021-01-16 14:48:33
229,Beruwala,6.4788,79.9828,77.83,83,99,4.99,LK,2021-01-16 14:48:33
230,Hualmay,-11.0964,-77.6139,74.43,72,52,9.01,PE,2021-01-16 14:48:33
231,Richards Bay,-28.783,32.0377,79.3,70,20,13.47,ZA,2021-01-16 14:48:33
232,Pangnirtung,66.1451,-65.7125,12.69,91,100,6.49,CA,2021-01-16 14:48:33
233,Linqiong,30.4159,103.4609,46.99,70,75,6.71,CN,2021-01-16 14:48:33
234,Sauda,59.6506,6.3542,32.0,77,82,8.01,NO,2021-01-16 14:48:33
235,Lokosovo,61.1333,74.8167,1.38,94,100,3.96,RU,2021-01-16 14:48:34
236,Hithadhoo,-0.6,73.0833,82.04,75,100,11.27,MV,2021-01-16 14:48:34
237,Coquimbo,-29.9533,-71.3436,64.4,72,20,10.36,CL,2021-01-16 14:48:34
238,Lagoa,39.05,-27.9833,59.88,83,100,7.23,PT,2021-01-16 14:48:34
239,Atambua,-9.1061,124.8925,75.9,84,100,2.3,ID,2021-01-16 14:48:34
240,Caiaponia,-16.9567,-51.8103,72.14,89,94,8.39,BR,2021-01-16 14:48:34
241,Xai-Xai,-25.0519,33.6442,96.67,44,16,8.12,MZ,2021-01-16 14:48:35
242,Muros,42.7762,-9.0603,54.0,80,39,5.99,ES,2021-01-16 14:48:35
243,Zyryanskoye,56.8306,86.6258,7.18,91,97,9.44,RU,2021-01-16 14:48:35
244,Hailar,49.2,119.7,-10.23,88,86,8.93,CN,2021-01-16 14:48:35
245,Zhanakorgan,43.9098,67.2495,34.16,87,92,4.83,KZ,2021-01-16 14:48:35
246,Tuatapere,-46.1333,167.6833,63.0,88,100,4.0,NZ,2021-01-16 14:48:35
247,Umm Lajj,25.0213,37.2685,71.46,47,0,7.58,SA,2021-01-16 14:48:35
248,Kalmunai,7.4167,81.8167,78.06,80,53,3.13,LK,2021-01-16 14:48:36
249,Camaguey,21.3808,-77.9169,75.2,88,20,4.61,CU,2021-01-16 14:48:36
250,Banjarmasin,-3.3244,114.591,75.2,94,75,3.44,ID,2021-01-16 14:48:36
251,Itoman,26.1247,127.6694,60.8,94,75,14.97,JP,2021-01-16 14:48:36
252,Suez,29.9737,32.5263,64.08,40,0,8.63,EG,2021-01-16 14:48:36
253,Paamiut,61.994,-49.6678,24.55,94,82,12.24,GL,2021-01-16 14:48:36
254,Quatre Cocos,-20.2078,57.7625,82.4,83,40,11.5,MU,2021-01-16 14:48:37
255,Guerrero Negro,27.9769,-114.0611,57.58,37,0,2.01,MX,2021-01-16 14:48:37
256,Herouville-Saint-Clair,49.2109,-0.3065,44.6,100,90,14.97,FR,2021-01-16 14:48:37
257,Goderich,43.7501,-81.7165,32.0,86,49,3.44,CA,2021-01-16 14:48:37
258,Gao,16.6362,1.637,89.15,11,0,7.78,ML,2021-01-16 14:43:41
259,Yumen,40.2833,97.2,16.11,77,0,22.88,CN,2021-01-16 14:48:37
