City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Tessalit,ML,20.1986,1.0114,73.44,14,88,14.92,overcast clouds
249,Pindwara,IN,24.8,73.0667,65.39,40,0,2.01,clear sky
250,Saint-Augustin,CA,51.226,-58.6502,24.66,88,8,0.76,clear sky
251,Kidal,ML,18.4411,1.4078,86.2,12,86,8.79,overcast clouds
252,Santa Barbara,US,34.7333,-120.0343,50.0,70,1,8.03,clear sky
253,Sur,OM,22.5667,59.5289,69.84,67,0,8.28,clear sky
254,Aklavik,CA,68.2191,-135.0107,-13.0,84,75,3.44,broken clouds
255,Odweyne,SO,9.4092,45.064,70.2,41,11,12.41,few clouds
256,Ixtapa,MX,20.7,-105.2,68.0,68,40,1.77,scattered clouds
257,Mahebourg,MU,-20.4081,57.7,82.4,78,40,8.05,light rain
258,Alice Springs,AU,-23.7,133.8833,69.8,46,90,8.05,overcast clouds
259,Zaysan,KZ,47.4667,84.8667,3.38,84,37,3.2,scattered clouds
260,Gazanjyk,TM,39.2446,55.5154,49.5,69,11,13.27,few clouds
261,Acapulco,MX,16.8634,-99.8901,82.4,69,90,6.91,overcast clouds
262,Chulman,RU,56.8479,124.9104,-22.92,84,100,5.57,overcast clouds
263,Quelimane,MZ,-17.8786,36.8883,84.49,73,100,3.56,overcast clouds
264,Nishihara,JP,26.1842,127.7558,60.8,77,90,11.5,mist
265,Avarua,CK,-21.2078,-159.775,73.4,94,20,2.3,few clouds
266,Bowen,AU,-20.0167,148.2333,73.4,94,100,6.91,overcast clouds
267,Rio Branco,BR,-9.9747,-67.81,86.0,66,40,11.5,moderate rain
268,Korla,CN,41.7597,86.1469,20.1,81,0,8.03,clear sky
269,Kendari,ID,-3.945,122.4989,76.96,90,100,3.89,overcast clouds
270,Chingola,ZM,-12.529,27.8838,69.73,93,33,3.18,light rain
271,Kruisfontein,ZA,-34.0033,24.7314,77.0,54,0,8.99,clear sky
272,Sibolga,ID,1.7427,98.7792,76.69,78,84,4.09,broken clouds
273,Laguna,US,38.421,-121.4238,45.0,93,1,4.32,mist
274,Bethel,US,41.3712,-73.414,39.99,93,90,6.91,overcast clouds
275,Osterhofen,DE,48.7,13.0167,27.0,83,98,7.45,overcast clouds
276,Yarada,IN,17.65,83.2667,73.4,88,0,2.3,mist
277,Luderitz,NA,-26.6481,15.1594,70.27,60,0,23.15,clear sky
278,Brazzaville,CG,-4.2658,15.2832,89.6,51,40,6.91,moderate rain
279,Geraldton,AU,-28.7667,114.6,91.4,29,100,19.57,overcast clouds
280,Changde,CN,29.0464,111.6783,44.29,55,100,18.43,light rain
281,Aberdeen,GB,57.1437,-2.0981,45.0,76,99,9.22,overcast clouds
282,Santiago De Cuba,CU,20.0247,-75.8219,82.4,61,40,5.75,scattered clouds
283,Kailua,US,21.4022,-157.7394,73.4,83,90,8.66,light rain
284,Puerto Escondido,MX,15.85,-97.0667,80.6,74,40,1.19,scattered clouds
285,Klyuchi,RU,52.2667,79.1667,11.05,88,73,18.5,broken clouds
286,Xianyang,CN,34.3378,108.7026,37.0,27,0,6.71,clear sky
287,Gorno-Altaysk,RU,51.9561,85.955,18.39,88,96,5.84,overcast clouds
288,Praya,CV,14.9215,-23.5087,78.8,44,75,20.71,broken clouds
289,Nome,US,64.5011,-165.4064,12.2,79,100,3.15,overcast clouds
290,Tautira,PF,-17.7333,-149.15,78.8,73,75,2.3,broken clouds
291,Abatskoye,RU,56.2875,70.4555,15.76,95,100,10.98,overcast clouds
292,Ariquemes,BR,-9.9133,-63.0408,76.71,90,100,5.73,moderate rain
293,Okhotsk,RU,59.3833,143.3,-14.44,85,94,9.4,overcast clouds
294,Talnakh,RU,69.4865,88.3972,-27.31,71,0,6.96,clear sky
295,Bilibino,RU,68.0546,166.4372,-16.31,85,100,0.51,overcast clouds
296,Kaeo,NZ,-35.1,173.7833,57.99,92,3,2.13,clear sky
297,Nabire,ID,-3.3667,135.4833,77.95,87,100,3.27,moderate rain
298,Pitimbu,BR,-7.4706,-34.8086,86.0,58,75,14.97,broken clouds
299,Labuhan,ID,-6.8844,112.2051,78.55,80,100,4.85,overcast clouds
300,Tommot,RU,58.9564,126.2925,-30.05,81,100,3.29,overcast clouds
301,Cap Malheureux,MU,-19.9842,57.6142,81.0,81,49,5.99,scattered clouds
302,Adre,TD,13.4667,22.2,72.1,20,23,0.92,few clouds
303,Tarragona,ES,41.129,1.249,55.4,44,20,16.11,few clouds
304,Morrope,PE,-6.5417,-80.0111,75.2,78,75,3.44,mist
305,Moranbah,AU,-22.0016,148.0466,77.13,69,100,5.7,overcast clouds
306,Solnechnyy,RU,50.7214,136.6319,-14.08,86,32,3.0,scattered clouds
307,Batticaloa,LK,7.7102,81.6924,78.53,81,50,2.84,light rain
308,San Cristobal,VE,7.7669,-72.225,84.2,58,40,6.91,scattered clouds
309,Half Moon Bay,US,37.4636,-122.4286,53.01,93,90,8.05,mist
310,Port Blair,IN,11.6667,92.75,77.74,76,59,8.84,broken clouds
311,Vizinga,RU,61.0749,50.1031,0.19,92,100,10.74,overcast clouds
312,Novyy Urengoy,RU,66.0833,76.6333,-4.74,92,100,11.01,overcast clouds
